League Id,Date,Home,Score Home,Away,Score Away,Type,Played,Overtime,Shootout,Game Id
0,2003-10-16,10,3,33,0,Regular Season,1,0,0,49
0,2003-10-16,27,1,14,7,Regular Season,1,0,0,50
0,2003-10-16,21,5,3,2,Regular Season,1,0,0,47
0,2003-10-16,0,1,15,2,Regular Season,1,0,0,46
0,2003-10-16,34,2,8,6,Regular Season,1,0,0,42
0,2003-10-16,29,5,26,2,Regular Season,1,0,0,51
0,2003-10-16,9,4,18,2,Regular Season,1,0,0,43
0,2003-10-16,35,4,25,1,Regular Season,1,0,0,45
0,2003-10-16,23,2,17,3,Regular Season,1,0,0,44
0,2003-10-17,30,2,28,5,Regular Season,1,0,0,53
0,2003-10-17,12,4,22,1,Regular Season,1,0,0,52
0,2003-10-18,20,3,31,1,Regular Season,1,0,0,62
0,2003-10-18,10,4,24,2,Regular Season,1,0,0,63
0,2003-10-18,26,3,14,0,Regular Season,1,0,0,64
0,2003-10-18,27,5,28,1,Regular Season,1,0,0,66
0,2003-10-18,16,2,22,1,Regular Season,1,0,0,67
0,2003-10-18,32,7,34,1,Regular Season,1,0,0,61
0,2003-10-18,15,4,9,5,Regular Season,1,0,0,65
0,2003-10-18,33,1,8,3,Regular Season,1,0,0,54
0,2003-10-18,19,3,17,1,Regular Season,1,0,0,55
0,2003-10-18,23,4,25,2,Regular Season,1,0,0,56
0,2003-10-18,21,3,29,1,Regular Season,1,0,0,60
0,2003-10-18,35,2,18,2,Regular Season,1,1,0,58
0,2003-10-18,0,4,3,3,Regular Season,1,1,0,59
0,2003-10-18,11,3,5,3,Regular Season,1,1,0,57
0,2003-10-19,30,3,5,4,Regular Season,1,0,0,70
0,2003-10-19,12,2,35,3,Regular Season,1,1,0,69
0,2003-10-19,8,3,32,1,Regular Season,1,0,0,68
0,2003-10-20,18,1,17,1,Regular Season,1,1,0,74
0,2003-10-20,10,5,31,2,Regular Season,1,0,0,73
0,2003-10-20,0,2,9,2,Regular Season,1,1,0,71
0,2003-10-20,20,4,3,2,Regular Season,1,0,0,72
0,2003-10-21,29,4,33,5,Regular Season,1,0,0,80
0,2003-10-21,35,1,19,4,Regular Season,1,0,0,78
0,2003-10-21,27,0,30,3,Regular Season,1,0,0,79
0,2003-10-21,25,3,5,2,Regular Season,1,0,0,75
0,2003-10-21,11,1,14,1,Regular Season,1,1,0,77
0,2003-10-21,23,1,16,1,Regular Season,1,1,0,76
0,2003-10-22,18,2,16,3,Regular Season,1,0,0,86
0,2003-10-22,21,1,31,0,Regular Season,1,0,0,84
0,2003-10-22,15,2,24,0,Regular Season,1,0,0,85
0,2003-10-22,12,3,3,6,Regular Season,1,0,0,81
0,2003-10-22,30,1,14,1,Regular Season,1,1,0,83
0,2003-10-22,9,4,34,6,Regular Season,1,0,0,82
0,2003-10-23,28,4,22,0,Regular Season,1,0,0,93
0,2003-10-23,26,3,3,3,Regular Season,1,1,0,94
0,2003-10-23,27,3,8,4,Regular Season,1,0,0,95
0,2003-10-23,11,2,17,2,Regular Season,1,1,0,91
0,2003-10-23,0,6,20,2,Regular Season,1,0,0,92
0,2003-10-23,5,7,24,1,Regular Season,1,0,0,88
0,2003-10-23,33,2,32,1,Regular Season,1,0,0,87
0,2003-10-23,34,2,29,5,Regular Season,1,0,0,89
0,2003-10-23,25,2,23,2,Regular Season,1,1,0,90
0,2003-10-24,15,1,21,5,Regular Season,1,0,0,100
0,2003-10-24,30,1,17,2,Regular Season,1,0,0,99
0,2003-10-24,31,4,35,5,Regular Season,1,0,0,98
0,2003-10-24,9,0,12,1,Regular Season,1,0,0,97
0,2003-10-24,19,3,16,4,Regular Season,1,0,0,96
0,2003-10-25,23,3,19,0,Regular Season,1,0,0,103
0,2003-10-25,34,0,12,4,Regular Season,1,0,0,102
0,2003-10-25,33,6,31,0,Regular Season,1,0,0,101
0,2003-10-25,11,2,8,5,Regular Season,1,0,0,104
0,2003-10-25,0,1,28,4,Regular Season,1,0,0,105
0,2003-10-25,3,0,22,2,Regular Season,1,0,0,113
0,2003-10-25,29,2,35,3,Regular Season,1,0,0,112
0,2003-10-25,14,3,24,1,Regular Season,1,0,0,110
0,2003-10-25,27,2,26,0,Regular Season,1,0,0,111
0,2003-10-25,10,3,9,1,Regular Season,1,0,0,109
0,2003-10-25,32,2,25,1,Regular Season,1,0,0,107
0,2003-10-25,21,3,5,3,Regular Season,1,1,0,106
0,2003-10-25,20,3,15,2,Regular Season,1,0,0,108
0,2003-10-26,18,0,26,2,Regular Season,1,0,0,116
0,2003-10-26,30,2,8,4,Regular Season,1,0,0,115
0,2003-10-26,25,3,17,2,Regular Season,1,1,0,114
0,2003-10-27,3,4,33,2,Regular Season,1,0,0,118
0,2003-10-27,14,5,0,1,Regular Season,1,0,0,117
0,2003-10-28,26,3,8,2,Regular Season,1,0,0,125
0,2003-10-28,16,3,32,3,Regular Season,1,1,0,126
0,2003-10-28,18,3,34,5,Regular Season,1,0,0,127
0,2003-10-28,20,6,21,3,Regular Season,1,0,0,123
0,2003-10-28,10,6,30,1,Regular Season,1,0,0,124
0,2003-10-28,24,4,27,3,Regular Season,1,0,0,120
0,2003-10-28,17,5,35,2,Regular Season,1,0,0,119
0,2003-10-28,25,3,19,2,Regular Season,1,0,0,121
0,2003-10-28,0,3,5,4,Regular Season,1,0,0,122
0,2003-10-29,22,6,30,3,Regular Season,1,0,0,132
0,2003-10-29,15,6,20,2,Regular Season,1,0,0,131
0,2003-10-29,9,1,16,1,Regular Season,1,1,0,129
0,2003-10-29,14,6,31,2,Regular Season,1,0,0,130
0,2003-10-29,12,1,19,3,Regular Season,1,0,0,128
0,2003-10-30,21,6,14,3,Regular Season,1,0,0,139
0,2003-10-30,32,0,9,2,Regular Season,1,0,0,140
0,2003-10-30,28,1,31,1,Regular Season,1,1,0,142
0,2003-10-30,29,2,27,1,Regular Season,1,0,0,143
0,2003-10-30,35,2,33,3,Regular Season,1,0,0,138
