PlayerId,Year,TeamId,LeagueId,GP,G,A,PIM,+/-,PP G,PP A,SH G,SH A,GR,GWG,SOG,FO,FO W,HIT,GvA,TkA,SB,TOI,PPTOI,SHTOI,Fights,Fights Won
18755,2023,18,0,2,0,0,0,-2,0,0,0,0,59,0,2,0,0,0,0,0,0,796,25,89,0,0
18755,2022,64,1,3,1,2,2,0,0,1,0,0,71,0,9,7,5,2,1,0,2,3074,448,325,0,0
18769,2026,27,0,4,0,3,0,1,0,0,0,1,58,0,1,11,7,3,1,3,0,1822,0,287,0,0
18769,2025,25,0,1,0,0,0,0,0,0,0,0,68,0,0,4,3,0,0,1,1,304,108,138,0,0
18769,2024,25,0,2,0,0,2,0,0,0,0,0,63,0,1,10,7,2,0,1,0,1806,0,97,0,0
18769,2023,9,0,4,1,1,0,3,0,0,0,0,63,0,4,11,7,4,1,0,2,1924,0,354,0,0
18769,2022,12,0,6,1,1,4,-1,0,0,0,0,68,0,8,67,39,11,4,1,3,4476,345,843,0,0
18787,2022,23,0,6,3,4,0,1,0,1,0,0,66,0,19,9,7,6,2,1,4,5795,837,0,0,0
18787,2023,23,0,6,2,1,5,0,0,0,0,0,60,0,14,2,1,7,1,0,7,5017,765,93,0,0
18787,2024,23,0,7,2,6,0,-1,2,1,0,0,62,1,13,3,1,13,7,2,4,6145,346,0,0,0
18787,2025,23,0,1,0,0,0,0,0,0,0,0,62,0,3,0,0,0,0,0,1,783,5,0,0,0
18787,2026,47,1,5,0,2,2,2,0,1,0,0,68,0,7,5,5,5,2,2,1,3905,243,145,0,0
18795,2026,748,2,4,2,1,4,2,0,0,0,0,65,0,6,53,25,8,1,0,8,3073,859,16,0,0
18795,2025,738,2,7,0,3,4,0,0,1,0,0,61,0,5,75,48,4,2,2,8,4701,1303,49,0,0
18795,2024,3789,2,6,1,0,12,0,1,0,0,0,63,1,10,66,36,2,0,3,2,4094,910,95,0,0
18795,2023,3789,2,7,0,1,0,-1,0,0,0,0,60,0,4,74,31,5,2,2,11,3990,854,152,0,0
18795,2022,3789,2,7,1,1,4,-4,0,0,0,0,64,0,6,73,42,7,1,3,6,5283,572,469,0,0
18805,2026,17,0,4,0,0,2,-3,0,0,0,0,66,0,9,0,0,6,0,3,13,4535,150,211,0,0
18805,2025,17,0,6,0,3,0,3,0,0,0,1,75,0,15,0,0,13,2,3,10,6730,892,473,0,0
18805,2022,16,0,6,0,1,0,3,0,0,0,0,78,0,22,0,0,3,3,0,15,6188,1464,89,0,0
18805,2023,16,0,7,2,2,2,-6,1,1,0,0,78,0,19,0,0,6,1,2,9,7385,1742,286,0,0
18805,2024,16,0,5,0,2,2,3,0,0,0,0,82,0,13,0,0,7,0,1,12,5052,1253,202,0,0
18806,2026,568,3,3,0,1,0,1,0,0,0,0,65,0,1,32,21,5,1,0,0,2037,724,0,0,0
18806,2025,568,3,5,1,2,2,-1,0,0,0,0,60,0,13,54,28,8,0,0,0,3634,353,43,0,0
18806,2024,568,3,5,0,1,0,-2,0,0,0,0,66,0,6,72,41,13,1,0,5,4870,602,224,0,0
18806,2023,568,3,3,0,0,2,-2,0,0,0,0,66,0,13,59,28,4,0,2,1,2493,938,372,0,0
