PlayerId,Year,Team Id,League Id,GP,Min,W,L,T/OL,ENG,SO,GA,SA,GR
185835,2031,4903,179,3,8027,1,2,0,1,0,8,69,39
185835,2030,4904,180,4,14160,3,1,0,0,0,8,125,39
191401,2034,4776,109,17,51124,8,8,1,2,0,53,443,60
191401,2033,4776,109,27,100043,17,5,5,0,0,57,817,59
191401,2032,4776,109,29,102030,16,11,2,3,0,91,831,40
191401,2031,2621,110,25,78516,16,8,1,1,0,67,649,38
161683,2030,199,14,0,0,0,0,0,0,0,0,0,0
161683,2028,4776,109,25,89533,15,5,5,0,0,70,744,43
161683,2027,257,34,2,7463,2,0,0,0,0,2,67,49
161683,2026,4776,109,30,107296,14,13,3,0,0,90,911,43
161683,2025,5027,110,24,82349,17,5,2,0,0,69,669,41
196368,2033,3269,181,6,19092,2,3,1,1,0,18,149,38
196368,2032,3342,182,2,7200,2,0,0,0,0,3,59,38
206256,2034,2012,110,14,47707,9,4,1,0,0,36,385,38
161694,2034,2664,139,6,18312,2,3,1,0,0,17,154,89
161694,2033,4532,114,13,43248,9,4,0,0,0,52,342,73
161694,2033,995,69,17,62251,13,3,1,0,0,34,505,63
161694,2032,1371,14,21,76251,9,9,3,3,4,56,657,69
