League Id,Date,Type,Game Id,PlayerId,TeamId,Game Rating,SA,GA,SV,SV%,TOI,PIM
0,2003-9-27,Pre-Season,1294,1621,22,49,32,5,27,.844,3570000,0
0,2003-9-27,Pre-Season,1294,1890,16,70,26,3,23,.885,3600000,0
0,2003-9-27,Pre-Season,1294,2813,22,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1296,458,17,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1296,1128,3,38,21,4,17,.810,3552000,0
0,2003-9-27,Pre-Season,1296,1150,17,91,46,3,43,.935,3600000,0
0,2003-9-27,Pre-Season,1296,1602,3,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1304,1572,9,97,18,0,18,1.000,3600000,0
0,2003-9-27,Pre-Season,1304,1695,9,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1304,1951,5,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1304,1975,5,85,28,1,27,.964,3581000,0
0,2003-9-27,Pre-Season,1302,1258,18,67,24,2,22,.917,3555000,0
0,2003-9-27,Pre-Season,1302,1494,18,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1302,1655,28,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1302,1959,28,65,16,1,15,.938,3600000,0
0,2003-9-27,Pre-Season,1298,1188,34,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1298,1318,34,76,30,2,28,.933,3580000,0
0,2003-9-27,Pre-Season,1298,1426,0,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1298,2180,0,77,26,1,25,.962,3600000,0
0,2003-9-27,Pre-Season,1300,1174,26,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1300,1215,26,92,31,1,30,.968,3635000,0
0,2003-9-27,Pre-Season,1300,1451,29,98,29,0,29,1.000,3635000,0
0,2003-9-27,Pre-Season,1300,1598,29,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1338,194,15,86,35,2,33,.943,3600000,0
0,2003-9-28,Pre-Season,1338,1089,15,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1338,1426,0,36,24,5,19,.792,3600000,0
0,2003-9-28,Pre-Season,1338,2180,0,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1342,1329,20,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1342,1838,27,76,24,1,23,.958,3600000,0
0,2003-9-28,Pre-Season,1342,2122,20,64,27,3,24,.889,3520000,0
0,2003-9-28,Pre-Season,1342,2347,27,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1340,412,31,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1340,1188,34,67,33,3,30,.909,3900000,0
0,2003-9-28,Pre-Season,1340,1318,34,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1340,2086,31,64,33,3,30,.909,3900000,0
0,2003-9-28,Pre-Season,1344,1198,21,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1344,1389,35,60,20,2,18,.900,3600000,0
0,2003-9-28,Pre-Season,1344,2013,35,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1344,2065,21,54,30,4,26,.867,3520000,0
0,2003-9-28,Pre-Season,1348,1258,18,88,54,4,50,.926,3275000,0
0,2003-9-28,Pre-Season,1348,1494,18,28,7,3,4,.571,325000,0
0,2003-9-28,Pre-Season,1348,2050,25,68,20,2,18,.900,3600000,0
0,2003-9-28,Pre-Season,1348,2458,25,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1350,1174,26,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1350,1215,26,78,28,1,27,.964,3600000,0
0,2003-9-28,Pre-Season,1350,1451,29,51,25,3,22,.880,3580000,0
0,2003-9-28,Pre-Season,1350,1598,29,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1346,1128,3,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1346,1558,16,79,28,1,27,.964,3600000,0
0,2003-9-28,Pre-Season,1346,1602,3,57,24,3,21,.875,3512000,0
0,2003-9-28,Pre-Season,1346,1890,16,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1336,458,17,75,41,3,38,.927,3585000,0
0,2003-9-28,Pre-Season,1336,1150,17,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1336,1907,8,95,34,1,33,.971,3600000,0
0,2003-9-28,Pre-Season,1336,2182,8,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1322,1572,9,62,31,3,28,.903,3544000,0
0,2003-9-28,Pre-Season,1322,1695,9,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1322,2212,12,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1322,2213,12,62,17,2,15,.882,3600000,0
0,2003-9-28,Pre-Season,1326,212,30,87,26,1,25,.962,3600000,0
0,2003-9-28,Pre-Season,1326,1433,30,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1326,1754,32,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1326,2246,32,72,30,2,28,.933,3570000,0
0,2003-9-28,Pre-Season,1328,1265,23,72,26,3,23,.885,3810000,0
